id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,neighbourhood_area,neighbourhood_pop,pop_density
36560474,217999489,100.0,1,2.0,1,1,3,1,1,2,1.0,1.0,1386.0,4,730,31,57,4.84,0,1.05,9.432832,57153,6058.94391
653982000675313680,95404928,71.55430761099366,0,2.0,1,1,5,2,1,3,1.0,2.0,1320.4675313807531,5,10,0,0,4.818525443935496,0,0.7332381191537447,8.7,105360,12110.344828
943393978587802645,158425912,100.0,0,5.0,1,1,3,1,1,4,1.0,2.0,958.0,3,365,69,10,4.6,0,2.24,9.432832,57153,6058.94391
551368161691765575,442798334,36.0,0,1.0,1,1,4,2,1,4,1.0,2.0,1507.0,2,60,226,3,5.0,0,0.15,9.860777,81326,8247.423099
52979811,37339744,77.0,1,1.0,1,0,2,1,1,2,1.0,1.0,850.0,2,40,25,26,4.88,0,1.0,4.104694,79318,19323.730344
26765657,19323220,67.0,1,8.0,1,1,1,1,1,4,2.0,5.0,2450.0,3,1000,353,29,4.86,0,0.73,8.371719,81143,9692.513569
822458303486973513,500184136,0.0,0,1.0,0,0,2,1,1,4,1.0,2.0,1320.4675313807531,2,7,0,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
949022417450243738,423682853,99.0,0,10.0,1,1,3,1,1,8,2.0,3.0,1792.0,3,365,335,7,4.86,1,1.86,9.432832,57153,6058.94391
20548471,137222476,92.0,1,1.0,1,1,2,1,1,2,1.0,1.0,1057.0,2,30,57,76,4.92,0,0.99,4.104694,79318,19323.730344
2505649,1964219,53.0,0,1.0,1,1,1,2,1,5,1.0,4.0,2443.0,3,21,353,53,4.96,0,0.45,8.371719,81143,9692.513569
35306318,265814975,71.0,0,1.0,1,0,3,1,1,4,2.0,1.0,2000.0,5,19,7,8,5.0,0,0.15,9.432832,57153,6058.94391
20707214,14880520,100.0,0,2.0,1,1,2,1,1,5,1.0,4.0,1320.4675313807531,7,1125,0,22,4.64,0,0.29,4.104694,79318,19323.730344
1017906385376151029,15621439,54.0,0,1.0,1,1,2,1,1,1,1.0,1.0,457.0,1,18,34,0,4.818525443935496,0,0.7332381191537447,4.104694,79318,19323.730344
3525309,14619770,71.55430761099366,0,3.0,1,1,1,1,1,2,1.0,1.0,2450.0,1,7,365,5,4.8,0,0.04,8.371719,81143,9692.513569
974521153471464768,474190143,77.0,0,1.0,1,1,2,1,1,2,1.0,1.0,750.0,1,365,238,4,5.0,0,1.25,4.104694,79318,19323.730344
661916190343747973,19416206,92.0,1,2.0,1,1,7,2,1,2,1.0,1.0,1320.4675313807531,7,1125,0,19,4.95,0,1.06,9.784081,63068,6445.980977
13407331,76338012,92.0,0,2.0,1,1,3,1,1,2,1.0,1.0,1200.0,6,1125,117,20,4.75,0,1.11,9.432832,57153,6058.94391
